"month_start","tagname","group_name","questions","answers","total_q_a"
2019-02-01,bash,baixo_moderado,1014,1534,2548
2019-02-01,dart,baixo_moderado,725,856,1581
2019-02-01,julia,baixo_moderado,98,125,223
2019-02-01,r,baixo_moderado,4237,4832,9069
2019-03-01,c#,alto_recurso,8927,10101,19028
2019-03-01,java,alto_recurso,11986,14655,26641
2019-03-01,javascript,alto_recurso,17270,24111,41381
2019-03-01,python,alto_recurso,19834,25651,45485
2019-03-01,bash,baixo_moderado,1096,1609,2705
2019-03-01,dart,baixo_moderado,751,892,1643
2019-03-01,julia,baixo_moderado,119,151,270
2019-03-01,r,baixo_moderado,4480,5223,9703
2019-04-01,c#,alto_recurso,9072,10134,19206
2019-04-01,java,alto_recurso,11113,13176,24289
2019-04-01,javascript,alto_recurso,16107,22014,38121
2019-04-01,python,alto_recurso,19762,25502,45264
2019-04-01,bash,baixo_moderado,1091,1609,2700
2019-04-01,dart,baixo_moderado,847,994,1841
2019-04-01,julia,baixo_moderado,99,113,212
2019-04-01,r,baixo_moderado,4592,5220,9812
2019-05-01,c#,alto_recurso,8994,9811,18805
2019-05-01,java,alto_recurso,11031,12873,23904
2019-05-01,javascript,alto_recurso,16082,21915,37997
2019-05-01,python,alto_recurso,18832,24368,43200
2019-05-01,bash,baixo_moderado,1082,1492,2574
2019-05-01,dart,baixo_moderado,809,990,1799
2019-05-01,julia,baixo_moderado,137,154,291
2019-05-01,r,baixo_moderado,4293,5047,9340
2019-06-01,c#,alto_recurso,7571,8461,16032
2019-06-01,java,alto_recurso,9590,11214,20804
2019-06-01,javascript,alto_recurso,14752,19820,34572
2019-06-01,python,alto_recurso,17165,21665,38830
2019-06-01,bash,baixo_moderado,932,1299,2231
2019-06-01,dart,baixo_moderado,785,1030,1815
2019-06-01,julia,baixo_moderado,111,110,221
2019-06-01,r,baixo_moderado,3941,4647,8588
2019-07-01,c#,alto_recurso,8413,9353,17766
2019-07-01,java,alto_recurso,10782,12643,23425
2019-07-01,javascript,alto_recurso,16072,21681,37753
2019-07-01,python,alto_recurso,19672,25241,44913
2019-07-01,bash,baixo_moderado,1042,1426,2468
2019-07-01,dart,baixo_moderado,981,1226,2207
2019-07-01,julia,baixo_moderado,105,104,209
2019-07-01,r,baixo_moderado,4189,5003,9192
